timestamp,activity,duration_sec,avg_fps
2025-12-11 14:44:56,assembling_drone,0.0,0.59
2025-12-11 14:44:59,simply_sitting,0.0,1.97
2025-12-11 14:45:05,assembling_drone,0.0,0.38
2025-12-11 14:45:08,simply_sitting,0.0,2.54
2025-12-11 14:45:39,assembling_drone,0.0,2.15
2025-12-11 14:45:41,idle,0.0,11.63
2025-12-11 14:45:42,simply_sitting,0.0,8.53
2025-12-11 14:45:43,idle,0.0,0.83
2025-12-11 14:45:51,assembling_drone,0.0,0.76
2025-12-11 14:45:53,simply_sitting,0.0,0.37
2025-12-11 14:46:07,idle,0.0,0.38
2025-12-11 14:46:07,assembling_drone,0.0,0.37
2025-12-11 14:46:13,idle,0.0,2.08
2025-12-11 14:46:13,assembling_drone,0.0,0.37
2025-12-11 14:46:16,idle,0.0,3.7
2025-12-11 14:46:19,assembling_drone,0.0,0.38
2025-12-11 14:46:22,idle,0.0,0.36
2025-12-11 14:46:33,assembling_drone,0.0,0.35
2025-12-11 14:46:38,idle,0.0,2.76
2025-12-11 14:46:49,assembling_drone,0.0,0.37
2025-12-11 14:47:00,idle,0.0,1.56
2025-12-11 14:47:01,assembling_drone,0.0,0.37
2025-12-11 14:47:05,idle,0.0,0.92
2025-12-11 14:47:10,assembling_drone,0.0,0.42
2025-12-11 14:47:16,idle,0.0,4.14
2025-12-11 14:47:17,assembling_drone,0.0,0.44
2025-12-11 14:47:23,idle,0.0,3.76
2025-12-11 14:47:25,simply_sitting,0.0,1.89
2025-12-11 14:47:27,assembling_drone,0.0,0.65
2025-12-11 14:47:30,simply_sitting,0.0,3.17
2025-12-11 14:47:31,assembling_drone,0.0,0.64
2025-12-11 14:47:33,simply_sitting,0.0,2.72
2025-12-11 14:47:34,assembling_drone,0.0,0.65
2025-12-11 14:47:36,simply_sitting,0.0,2.81
2025-12-11 14:47:37,idle,0.0,2.8
2025-12-11 14:47:39,simply_sitting,0.0,2.88
2025-12-11 14:47:40,assembling_drone,0.0,0.62
2025-12-11 14:47:45,simply_sitting,0.0,2.55
2025-12-11 14:47:45,assembling_drone,0.0,0.62
2025-12-11 14:47:47,idle,0.0,3.81
2025-12-11 14:47:56,assembling_drone,0.0,0.62
2025-12-11 14:47:57,simply_sitting,0.0,2.8
2025-12-11 14:47:58,idle,0.0,3.34
2025-12-11 14:48:04,simply_sitting,0.0,3.45
2025-12-11 14:48:06,idle,0.0,4.14
2025-12-11 14:48:08,simply_sitting,0.0,3.75
2025-12-11 14:48:09,idle,0.0,3.86
2025-12-11 14:48:11,simply_sitting,0.0,3.23
2025-12-11 14:48:13,assembling_drone,0.0,3.74
2025-12-11 14:48:14,simply_sitting,0.0,2.76
2025-12-11 14:48:15,idle,0.0,2.97
2025-12-11 14:48:16,simply_sitting,0.0,4.41
2025-12-11 14:48:17,idle,0.0,3.67
2025-12-11 14:48:19,simply_sitting,0.0,2.83
2025-12-11 14:48:21,assembling_drone,0.0,3.31
2025-12-11 14:48:22,idle,0.0,3.85
2025-12-11 14:48:23,simply_sitting,0.0,3.88
2025-12-11 14:48:24,assembling_drone,0.0,4.63
2025-12-11 14:48:26,simply_sitting,0.0,3.75
2025-12-11 14:48:27,idle,0.0,6.77
2025-12-11 14:48:28,simply_sitting,0.0,10.6
2025-12-11 14:48:33,idle,0.0,3.59
2025-12-11 14:48:46,assembling_drone,0.0,0.7
2025-12-11 14:48:49,idle,0.0,2.84
2025-12-11 14:49:05,assembling_drone,0.0,0.37
2025-12-11 14:49:13,idle,0.0,0.38
2025-12-11 14:49:19,assembling_drone,0.0,0.37
2025-12-11 14:49:30,idle,0.0,0.37
2025-12-11 14:49:38,assembling_drone,0.0,0.37
2025-12-11 14:49:42,simply_sitting,0.0,2.86
2025-12-11 14:49:43,idle,0.0,2.57
2025-12-11 14:49:46,simply_sitting,0.0,3.61
2025-12-11 14:49:47,idle,0.0,3.41
2025-12-11 14:49:50,simply_sitting,0.0,2.9
2025-12-11 14:49:52,idle,0.0,2.36
2025-12-11 14:49:53,simply_sitting,0.0,3.53
2025-12-11 14:49:54,idle,0.0,1.91
2025-12-11 14:49:56,simply_sitting,0.0,3.03
2025-12-11 14:49:57,idle,0.0,2.99
2025-12-11 14:50:00,simply_sitting,0.0,3.92
2025-12-11 14:50:02,idle,0.0,3.25
2025-12-11 14:50:05,simply_sitting,0.0,2.95
2025-12-11 14:50:05,assembling_drone,0.0,0.7
2025-12-11 14:50:09,simply_sitting,0.0,3.67
2025-12-11 14:50:13,assembling_drone,0.0,0.37
2025-12-11 14:50:16,simply_sitting,0.0,2.71
2025-12-11 14:50:18,assembling_drone,0.0,0.54
2025-12-11 14:50:21,simply_sitting,0.0,0.47
2025-12-11 14:50:26,idle,0.0,0.38
2025-12-11 14:50:32,assembling_drone,0.0,0.37
2025-12-11 14:50:51,idle,0.0,1.27
2025-12-11 14:50:53,assembling_drone,0.0,2.13
2025-12-11 14:50:55,idle,0.0,2.36
2025-12-11 14:50:56,assembling_drone,0.0,3.72
2025-12-11 14:51:11,idle,0.0,3.23
2025-12-11 14:51:14,simply_sitting,0.0,3.18
2025-12-11 14:51:18,assembling_drone,0.0,0.41
2025-12-11 14:51:22,simply_sitting,0.0,2.72
2025-12-11 14:53:33,assembling_drone,0.0,0.63
2025-12-11 14:53:35,idle,0.0,0.61
2025-12-11 14:54:08,assembling_drone,0.0,0.6
2025-12-11 14:54:10,simply_sitting,0.0,0.6
2025-12-11 14:54:23,assembling_drone,0.0,0.63
2025-12-11 14:54:25,simply_sitting,0.0,3.64
2025-12-11 14:54:26,assembling_drone,0.0,0.64
2025-12-11 14:54:27,simply_sitting,0.0,3.78
2025-12-11 14:54:33,assembling_drone,0.0,0.6
2025-12-11 14:54:35,simply_sitting,0.0,2.83
2025-12-11 14:54:36,assembling_drone,0.0,0.62
2025-12-11 14:54:38,simply_sitting,0.0,2.98
2025-12-11 14:56:54,assembling_drone,0.0,0.71
2025-12-11 14:56:55,idle,0.0,1.94
2025-12-11 14:58:53,assembling_drone,0.0,0.58
2025-12-11 14:58:56,idle,0.0,0.38
2025-12-11 14:59:07,assembling_drone,0.0,0.36
2025-12-11 14:59:12,idle,0.0,0.34
2025-12-11 14:59:22,assembling_drone,0.0,1.17
2025-12-11 14:59:35,idle,16.1,0.38
